rank_test_score,std_test_score,param_svm__C,param_svm__max_iter,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
1,0.0008385489356190447,0.01,100000,0.37795729637145997,0.009136126784497557,0.03925309181213379,0.0011924406364604602,0.9155116202032881,0.914343497742211,0.9139599351430514,0.9157731401572606,0.9136794755561755
1,0.0008385489356190447,0.01,5000,0.37952122688293455,0.006566993835665411,0.035074710845947266,0.004157747168950441,0.9155116202032881,0.914343497742211,0.9139599351430514,0.9157731401572606,0.9136794755561755
1,0.0008385489356190447,0.01,50000,0.3813324451446533,0.013418171473886334,0.0386387825012207,0.0009610242782827711,0.9155116202032881,0.914343497742211,0.9139599351430514,0.9157731401572606,0.9136794755561755
1,0.0008385489356190447,0.01,1000,0.381406307220459,0.009725661106918016,0.03979501724243164,0.0014651946194593507,0.9155116202032881,0.914343497742211,0.9139599351430514,0.9157731401572606,0.9136794755561755
1,0.0008385489356190447,0.01,5000000,0.3847756862640381,0.014838216897186058,0.03968791961669922,0.001449968892627042,0.9155116202032881,0.914343497742211,0.9139599351430514,0.9157731401572606,0.9136794755561755
1,0.0008385489356190447,0.01,1000000,0.3852681159973145,0.008068195544883987,0.03866209983825684,0.0009587052872783279,0.9155116202032881,0.914343497742211,0.9139599351430514,0.9157731401572606,0.9136794755561755
1,0.0008385489356190447,0.01,10000,0.38626923561096194,0.02364921311224942,0.034592723846435545,0.002816713227795349,0.9155116202032881,0.914343497742211,0.9139599351430514,0.9157731401572606,0.9136794755561755
1,0.0008385489356190447,0.01,500000,0.40059409141540525,0.022639403659900685,0.04006915092468262,0.0016013511710663657,0.9155116202032881,0.914343497742211,0.9139599351430514,0.9157731401572606,0.9136794755561755
9,0.000862110741531887,1,10000,2.245446252822876,0.17613441800328983,0.036615943908691405,0.004010360137401961,0.9155464895304846,0.9143086284150147,0.9139425004794532,0.9156510975120735,0.9135051258804658
9,0.000862110741531887,1,500000,2.2467389583587645,0.13629454690021692,0.03778433799743652,0.002497918018453683,0.9155464895304846,0.9143086284150147,0.9139425004794532,0.9156510975120735,0.9135051258804658
9,0.000862110741531887,1,5000,2.2936650276184083,0.11249242755328491,0.041856908798217775,0.006785299274031104,0.9155464895304846,0.9143086284150147,0.9139425004794532,0.9156510975120735,0.9135051258804658
12,0.0008494050067233348,1,1000000,2.2317812919616697,0.11995087207255337,0.036710500717163086,0.004510340948294409,0.9155464895304846,0.9143086284150147,0.9139425004794532,0.915598793521279,0.9135051258804658
12,0.0008494050067233348,1,50000,2.2356621742248537,0.14292348216127743,0.039686393737792966,0.0033495972111176734,0.9155464895304846,0.9143086284150147,0.9139425004794532,0.915598793521279,0.9135051258804658
12,0.0008494050067233348,1,5000000,2.2513859272003174,0.11697531163895349,0.03616819381713867,0.003971911964206478,0.9155464895304846,0.9143086284150147,0.9139425004794532,0.915598793521279,0.9135051258804658
12,0.0008494050067233348,1,1000,2.290412950515747,0.08356110451908548,0.0387026309967041,0.0036647325287673875,0.9155464895304846,0.9143086284150147,0.9139425004794532,0.915598793521279,0.9135051258804658
12,0.0008494050067233348,1,100000,2.358592224121094,0.06766213278639174,0.03915386199951172,0.003005411574672745,0.9155464895304846,0.9143086284150147,0.9139425004794532,0.915598793521279,0.9135051258804658
17,0.0008471178967627556,0.1,1000000,0.5157543182373047,0.009170751498619015,0.03260383605957031,0.0030524146840844183,0.91549418553969,0.9143260630786129,0.9139599351430514,0.9156336628484754,0.913487690912895
17,0.0008471178967627556,0.1,5000,0.5330810546875,0.026592463544393156,0.034249734878540036,0.0029763280755163925,0.91549418553969,0.9143260630786129,0.9139599351430514,0.9156336628484754,0.913487690912895
17,0.0008471178967627556,0.1,5000000,0.5543296813964844,0.015169575791461946,0.03793997764587402,0.0034377578521983363,0.91549418553969,0.9143260630786129,0.9139599351430514,0.9156336628484754,0.913487690912895
17,0.0008471178967627556,0.1,100000,0.5568970203399658,0.011492797507946457,0.0405306339263916,0.003742783390849188,0.91549418553969,0.9143260630786129,0.9139599351430514,0.9156336628484754,0.913487690912895
17,0.0008471178967627556,0.1,1000,0.56069917678833,0.026576889714032114,0.034733915328979494,0.00356602887813294,0.91549418553969,0.9143260630786129,0.9139599351430514,0.9156336628484754,0.913487690912895
17,0.0008471178967627556,0.1,10000,0.5709856510162353,0.02580009697825397,0.038918352127075194,0.0030863832109391063,0.91549418553969,0.9143260630786129,0.9139599351430514,0.9156336628484754,0.913487690912895
17,0.0008471178967627556,0.1,50000,0.5739450931549073,0.010035142669621215,0.03897099494934082,0.0013754203583478445,0.91549418553969,0.9143260630786129,0.9139599351430514,0.9156336628484754,0.913487690912895
17,0.0008471178967627556,0.1,500000,0.5840534687042236,0.016934350711677804,0.03884758949279785,0.005158658686144044,0.91549418553969,0.9143260630786129,0.9139599351430514,0.9156336628484754,0.913487690912895
25,0.0008759437656906642,0.001,5000000,0.38878917694091797,0.0035572507135634636,0.0388369083404541,0.0024439302237003265,0.9157382708300643,0.9140122391338459,0.9140471084610422,0.9154593162124937,0.9135225608480368
25,0.0008759437656906642,0.001,100000,0.39543805122375486,0.007652621131004977,0.03947434425354004,0.0018140455495416752,0.9157382708300643,0.9140122391338459,0.9140471084610422,0.9154593162124937,0.9135225608480368
25,0.0008759437656906642,0.001,500000,0.4002074241638184,0.004865347644375983,0.040387296676635744,0.0012193078545828396,0.9157382708300643,0.9140122391338459,0.9140471084610422,0.9154593162124937,0.9135225608480368
25,0.0008759437656906642,0.001,1000000,0.4015361785888672,0.020857927103191558,0.03868865966796875,0.00085004861588002,0.9157382708300643,0.9140122391338459,0.9140471084610422,0.9154593162124937,0.9135225608480368
25,0.0008759437656906642,0.001,50000,0.40895872116088866,0.0266508921755111,0.03874759674072266,0.003943450685561063,0.9157382708300643,0.9140122391338459,0.9140471084610422,0.9154593162124937,0.9135225608480368
