rank_test_score,std_test_score,param_svm__C,param_svm__max_iter,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
1,0.001302970583833519,0.0001,5000,0.11564440727233886,0.0024305114385410917,0.00802755355834961,0.003525534984834518,0.9466429685516341,0.9438499764227937,0.9428706155464471,0.9453351712130006,0.9452263493905978
1,0.001302970583833519,0.0001,1000,0.11670594215393067,0.003552397556215862,0.006314849853515625,0.0005836653083726799,0.9466429685516341,0.9438499764227937,0.9428706155464471,0.9453351712130006,0.9452263493905978
1,0.001302970583833519,0.0001,10000,0.11885385513305664,0.003002738604315075,0.0074007511138916016,0.0008484226624580106,0.9466429685516341,0.9438499764227937,0.9428706155464471,0.9453351712130006,0.9452263493905978
1,0.001302970583833519,0.0001,50000,0.12126746177673339,0.006991570876743425,0.006711101531982422,0.0003012411567021257,0.9466429685516341,0.9438499764227937,0.9428706155464471,0.9453351712130006,0.9452263493905978
1,0.001302970583833519,0.0001,5000000,0.12383370399475098,0.0018058349079424934,0.007696294784545898,0.00038489164736561066,0.9466429685516341,0.9438499764227937,0.9428706155464471,0.9453351712130006,0.9452263493905978
1,0.001302970583833519,0.0001,500000,0.13409028053283692,0.007916624552754157,0.007602787017822266,0.001061601474346647,0.9466429685516341,0.9438499764227937,0.9428706155464471,0.9453351712130006,0.9452263493905978
1,0.001302970583833519,0.0001,1000000,0.13585710525512695,0.007867879368763141,0.007665157318115234,0.0007619299319096348,0.9466429685516341,0.9438499764227937,0.9428706155464471,0.9453351712130006,0.9452263493905978
1,0.001302970583833519,0.0001,100000,0.1369260787963867,0.004012500111532332,0.007884359359741211,0.000893316009760825,0.9466429685516341,0.9438499764227937,0.9428706155464471,0.9453351712130006,0.9452263493905978
9,0.0016471385358423388,0.001,5000000,0.07781553268432617,0.0026703183862125074,0.00502467155456543,0.0008595338502176997,0.9427980702963473,0.9410932569190033,0.938554173165512,0.9421430644225188,0.943122460824144
9,0.0016471385358423388,0.001,1000000,0.08085870742797852,0.0015900492860752124,0.004943466186523438,0.000774452345591711,0.9427980702963473,0.9410932569190033,0.938554173165512,0.9421430644225188,0.943122460824144
9,0.0016471385358423388,0.001,5000,0.08273911476135254,0.005376248170716255,0.006326484680175781,0.0004115485740601845,0.9427980702963473,0.9410932569190033,0.938554173165512,0.9421430644225188,0.943122460824144
9,0.0016471385358423388,0.001,50000,0.0834388256072998,0.004647942278783764,0.006824493408203125,0.0011254378450226532,0.9427980702963473,0.9410932569190033,0.938554173165512,0.9421430644225188,0.943122460824144
9,0.0016471385358423388,0.001,100000,0.08445172309875489,0.002520223997140922,0.006985092163085937,0.000505804947572803,0.9427980702963473,0.9410932569190033,0.938554173165512,0.9421430644225188,0.943122460824144
9,0.0016471385358423388,0.001,10000,0.08541531562805176,0.006379642228064555,0.0071636676788330075,0.0013192181127720283,0.9427980702963473,0.9410932569190033,0.938554173165512,0.9421430644225188,0.943122460824144
9,0.0016471385358423388,0.001,500000,0.08591299057006836,0.0032494873566875464,0.006165027618408203,0.0007108409532985221,0.9427980702963473,0.9410932569190033,0.938554173165512,0.9421430644225188,0.943122460824144
9,0.0016471385358423388,0.001,1000,0.08607473373413085,0.004602461345756914,0.006382465362548828,0.0007997556543446756,0.9427980702963473,0.9410932569190033,0.938554173165512,0.9421430644225188,0.943122460824144
17,0.000763999000625821,1e-05,1000,0.149045991897583,0.003669429671733526,0.0062926292419433595,0.0005687509940214632,0.9413471652943524,0.9406579854184047,0.9393521709166093,0.941526407428903,0.9407283807312826
17,0.000763999000625821,1e-05,5000000,0.15401530265808105,0.010900987291217738,0.007017326354980469,0.0005247369971212029,0.9413471652943524,0.9406579854184047,0.9393521709166093,0.941526407428903,0.9407283807312826
17,0.000763999000625821,1e-05,1000000,0.15414104461669922,0.003489734335675703,0.007439804077148437,0.0006069860092462547,0.9413471652943524,0.9406579854184047,0.9393521709166093,0.941526407428903,0.9407283807312826
17,0.000763999000625821,1e-05,500000,0.15551166534423827,0.00542628095251141,0.007385444641113281,0.0007289530116832553,0.9413471652943524,0.9406579854184047,0.9393521709166093,0.941526407428903,0.9407283807312826
17,0.000763999000625821,1e-05,50000,0.15765595436096191,0.00634183910126474,0.0067540168762207035,0.0009249801401018691,0.9413471652943524,0.9406579854184047,0.9393521709166093,0.941526407428903,0.9407283807312826
17,0.000763999000625821,1e-05,100000,0.15839772224426268,0.009372692605690331,0.007584095001220703,0.00056152269649068,0.9413471652943524,0.9406579854184047,0.9393521709166093,0.941526407428903,0.9407283807312826
17,0.000763999000625821,1e-05,10000,0.1655756950378418,0.01689850436802081,0.006655645370483398,0.0009220114881750777,0.9413471652943524,0.9406579854184047,0.9393521709166093,0.941526407428903,0.9407283807312826
17,0.000763999000625821,1e-05,5000,0.16698837280273438,0.017451812453583238,0.006691598892211914,0.0014682255809898418,0.9413471652943524,0.9406579854184047,0.9393521709166093,0.941526407428903,0.9407283807312826
25,0.0017038366187114005,0.01,1000000,0.06709823608398438,0.006692316417841567,0.005263853073120117,0.0013511791900354024,0.9393158982915594,0.9376473575392651,0.9353984547861729,0.9387695879280326,0.9404019152640742
25,0.0017038366187114005,0.01,500000,0.06764202117919922,0.008933825943236285,0.004918909072875977,0.001167693663001016,0.9393158982915594,0.9376473575392651,0.9353984547861729,0.9387695879280326,0.9404019152640742
