home_team,game_date,umpire
ATL,2023-04-11,Ryan Blakney
ATL,2023-04-12,Marvin Hudson
ATL,2023-04-21,Jeff Nelson
ATL,2023-04-22,CB Bucknor
ATL,2023-04-23,Chris Segal
ATL,2023-04-24,Alfonso Márquez
ATL,2023-04-25,Brian O'Nora
ATL,2023-04-26,Pat Hoberg
ATL,2023-04-27,Nestor Ceja
ATL,2023-05-05,Stu Scheurwater
ATL,2023-05-06,Malachi Moore
ATL,2023-05-07,Mark Wegner
ATL,2023-05-09,Cory Blaser
ATL,2023-05-10,Clint Vondrak
ATL,2023-05-19,Edwin Jimenez
ATL,2023-05-20,Edwin Moscoso
ATL,2023-05-21,Chris Guccione
ATL,2023-05-22,Alan Porter
ATL,2023-05-23,Jim Wolf
ATL,2023-05-24,Mike Muchlinski
ATL,2023-05-25,Gabe Morales
ATL,2023-05-26,Nate Tomlinson
ATL,2023-05-27,Adam Beck
ATL,2023-05-28,Dan Iassogna
ATL,2023-06-06,D.J. Reyburn
ATL,2023-06-07,John Libka
ATL,2023-06-08,Clint Vondrak
ATL,2023-06-09,Alex MacKay
ATL,2023-06-10,Stu Scheurwater
ATL,2023-06-11,Malachi Moore
ATL,2023-06-15,Roberto Ortiz
ATL,2023-06-16,Chad Whitson
ATL,2023-06-17,Rob Drake
ATL,2023-06-18,Mark Ripperger
ATL,2023-06-26,Alex Tosi
ATL,2023-06-27,Todd Tichenor
ATL,2023-06-28,Tom Hanahan
ATL,2023-06-30,Sean Barber
ATL,2023-07-01,Alan Porter
ATL,2023-07-02,Jim Wolf
ATL,2023-07-14,Lance Barksdale
ATL,2023-07-15,Dan Merzel
ATL,2023-07-16,Ryan Additon
ATL,2023-07-18,Pat Hoberg
ATL,2023-07-19,Nestor Ceja
ATL,2023-07-20,Brian O'Nora
ATL,2023-07-28,Ramon D
ATL,2023-07-29,Lance Barrett
ATL,2023-07-30,Alfonso Márquez
ATL,2023-07-31,Nic Lentz
ATL,2023-08-01,Jeremie Rehak
ATL,2023-08-02,Chad Fairchild
ATL,2023-08-14,Chris Segal
ATL,2023-08-15,CB Bucknor
ATL,2023-08-16,Ben May
ATL,2023-08-18,John Libka
ATL,2023-08-19,D.J. Reyburn
ATL,2023-08-20,Angel Hernandez
ATL,2023-08-21,Adrian Johnson
ATL,2023-08-22,Manny Gonzalez
ATL,2023-08-23,Charlie Ramos
ATL,2023-09-05,Andy Fletcher
ATL,2023-09-06,Erich Bacchus
ATL,2023-09-07,Laz Diaz
ATL,2023-09-08,Roberto Ortiz
ATL,2023-09-09,Rob Drake
ATL,2023-09-10,Bill Miller
ATL,2023-09-18,Laz Diaz
ATL,2023-09-19,Mike Estabrook
ATL,2023-09-20,Andy Fletcher
ATL,2023-09-26,Dan Bellino
ATL,2023-09-27,Shane Livensparger
ATL,2023-09-28,Mark Ripperger
ATL,2023-09-29,Dan Merzel
ATL,2023-09-30,Ryan Wills
ATL,2023-10-01,Vic Carapazza
BAL,2023-04-07,Chad Whitson
