home_team,game_date,umpire
COL,2023-05-12,Jeff Nelson
COL,2023-05-13,Jordan Baker
COL,2023-05-14,Ryan Wills
COL,2023-05-15,Adam Hamari
COL,2023-05-16,Nick Mahrley
COL,2023-05-17,Vic Carapazza
COL,2023-05-22,Bruce Dreckman
COL,2023-05-23,Derek Thomas
COL,2023-05-24,Malachi Moore
COL,2023-05-25,Mark Wegner
COL,2023-05-26,Ron Kulpa
COL,2023-05-27,Carlos Torres
COL,2023-05-28,Jansen Visconti
COL,2023-06-06,Ryan Wills
COL,2023-06-07,Mark Ripperger
COL,2023-06-08,Shane Livensparger
COL,2023-06-09,Jerry Layne
COL,2023-06-10,Adam Hamari
COL,2023-06-11,Nick Mahrley
COL,2023-06-23,Edwin Moscoso
COL,2023-06-24,Nate Tomlinson
COL,2023-06-25,David Rackley
COL,2023-06-27,Doug Eddings
COL,2023-06-28,Lance Barrett
COL,2023-06-29,Alex MacKay
COL,2023-06-30,D.J. Reyburn
COL,2023-07-01,Clint Vondrak
COL,2023-07-02,John Libka
COL,2023-07-14,Adam Hamari
COL,2023-07-15,Nick Mahrley
COL,2023-07-16,Vic Carapazza
COL,2023-07-18,Charlie Ramos
COL,2023-07-19,Nic Lentz
COL,2023-07-28,Roberto Ortiz
COL,2023-07-29,Rob Drake
COL,2023-07-30,Bill Miller
COL,2023-07-31,Edwin Moscoso
COL,2023-08-01,David Rackley
COL,2023-08-02,Nate Tomlinson
COL,2023-08-14,Brian Knight
COL,2023-08-15,Todd Tichenor
COL,2023-08-16,Alex Tosi
COL,2023-08-18,Adam Beck
COL,2023-08-19,Dan Iassogna
COL,2023-08-20,Clint Vondrak
COL,2023-08-28,Lance Barrett
COL,2023-08-29,Ryan Blakney
COL,2023-08-30,Ryan Wills
COL,2023-09-01,Angel Hernandez
COL,2023-09-02,James Hoye
COL,2023-09-03,John Libka
COL,2023-09-11,Brian O'Nora
COL,2023-09-12,Pat Hoberg
COL,2023-09-13,Nestor Ceja
COL,2023-09-15,Will Little
COL,2023-09-17,Ryan Wills
COL,2023-09-27,CB Bucknor
COL,2023-09-28,Ben May
COL,2023-09-29,Edwin Moscoso
COL,2023-09-30,Chris Guccione
COL,2023-10-01,David Rackley
DET,2023-04-06,Edwin Moscoso
DET,2023-04-08,Chris Guccione
DET,2023-04-09,David Rackley
DET,2023-04-14,Malachi Moore
DET,2023-04-15,Mark Wegner
DET,2023-04-19,Todd Tichenor
DET,2023-04-27,Charlie Ramos
DET,2023-04-30,Doug Eddings
DET,2023-05-04,Adam Beck
DET,2023-05-12,Tony Randazzo
DET,2023-05-13,Todd Tichenor
DET,2023-05-14,Brian Knight
DET,2023-05-16,Paul Emmel
DET,2023-05-17,Nic Lentz
DET,2023-05-25,Sean Barber
DET,2023-05-26,Alan Porter
DET,2023-05-27,Jim Wolf
DET,2023-05-28,Mike Muchlinski
DET,2023-05-29,Charlie Ramos
DET,2023-05-30,Jeremie Rehak
DET,2023-05-31,Chad Fairchild
DET,2023-06-09,James Hoye
DET,2023-06-10,D.J. Reyburn
DET,2023-06-11,John Libka
DET,2023-06-12,Jordan Baker
DET,2023-06-19,Will Little
DET,2023-06-20,Lance Barksdale
DET,2023-06-21,Ryan Additon
DET,2023-06-23,Lance Barrett
DET,2023-06-24,Alex MacKay
DET,2023-06-25,Alfonso Márquez
DET,2023-07-04,Bill Miller
DET,2023-07-05,Roberto Ortiz
DET,2023-07-06,Chad Whitson
DET,2023-07-07,Jeremy Riggs
DET,2023-07-08,Erich Bacchus
DET,2023-07-09,Andy Fletcher
DET,2023-07-21,Brian Knight
DET,2023-07-22,Todd Tichenor
DET,2023-07-23,Tony Randazzo
DET,2023-07-24,Alex Tosi
DET,2023-07-25,Tripp Gibson
DET,2023-08-04,Mark Ripperger
DET,2023-08-05,Shane Livensparger
DET,2023-08-06,Dan Bellino
DET,2023-08-07,Pat Hoberg
DET,2023-08-08,Nestor Ceja
DET,2023-08-09,Nate Tomlinson
DET,2023-08-10,Brian O'Nora
DET,2023-08-21,Carlos Torres
DET,2023-08-22,Jansen Visconti
DET,2023-08-23,John Bacon
DET,2023-08-25,Laz Diaz
DET,2023-08-26,Mike Estabrook
DET,2023-08-27,Andy Fletcher
DET,2023-08-28,Vic Carapazza
DET,2023-08-29,Adam Hamari
DET,2023-08-30,Nick Mahrley
DET,2023-08-31,Jacob Metz
DET,2023-09-08,Marvin Hudson
DET,2023-09-09,Derek Thomas
DET,2023-09-10,Emil Jimenez
DET,2023-09-12,Adrian Johnson
DET,2023-09-13,Manny Gonzalez
DET,2023-09-14,Quinn Wolcott
DET,2023-09-26,John Tumpane
DET,2023-09-27,Alex MacKay
DET,2023-09-28,Brock Ballou
DET,2023-09-29,John Libka
DET,2023-09-30,Angel Hernandez
DET,2023-10-01,John Bacon
HOU,2023-03-30,Bill Miller
HOU,2023-03-31,Rob Drake
HOU,2023-04-01,Chad Whitson
HOU,2023-04-02,Roberto Ortiz
HOU,2023-04-03,Ben May
HOU,2023-04-04,Jeff Nelson
HOU,2023-04-05,CB Bucknor
HOU,2023-04-14,Laz Diaz
HOU,2023-04-15,Erich Bacchus
HOU,2023-04-16,Ryan Wills
HOU,2023-04-17,Pat Hoberg
HOU,2023-04-18,Nestor Ceja
HOU,2023-04-19,Alex MacKay
HOU,2023-04-28,Lance Barksdale
HOU,2023-04-29,Will Little
HOU,2023-04-30,Ryan Additon
HOU,2023-05-01,Malachi Moore
HOU,2023-05-02,Mark Wegner
HOU,2023-05-03,Bruce Dreckman
HOU,2023-05-15,Edwin Moscoso
HOU,2023-05-16,Chris Guccione
HOU,2023-05-17,David Rackley
HOU,2023-05-19,Brennan Miller
HOU,2023-05-20,Mark Carlson
HOU,2023-05-21,Tripp Gibson
HOU,2023-05-29,Vic Carapazza
HOU,2023-05-30,Jerry Layne
HOU,2023-05-31,Adam Hamari
HOU,2023-06-01,Stu Scheurwater
HOU,2023-06-02,Malachi Moore
HOU,2023-06-03,Mark Wegner
HOU,2023-06-04,Bruce Dreckman
HOU,2023-06-13,Tony Randazzo
HOU,2023-06-14,Jeremy Riggs
HOU,2023-06-15,Brian Knight
HOU,2023-06-16,Vic Carapazza
HOU,2023-06-17,Jerry Layne
HOU,2023-06-18,Adam Hamari
HOU,2023-06-19,Jacob Metz
HOU,2023-06-20,Nestor Ceja
HOU,2023-06-21,Brian O'Nora
HOU,2023-07-04,Derek Thomas
HOU,2023-07-05,Jordan Baker
HOU,2023-07-06,Nestor Ceja
HOU,2023-07-07,Brian O'Nora
HOU,2023-07-08,Pat Hoberg
HOU,2023-07-09,Edwin Jimenez
HOU,2023-07-24,Dan Bellino
HOU,2023-07-25,Phil Cuzzi
HOU,2023-07-26,Mark Ripperger
HOU,2023-07-28,Mark Carlson
HOU,2023-07-29,Tripp Gibson
HOU,2023-07-30,Derek Thomas
HOU,2023-07-31,Adrian Johnson
HOU,2023-08-01,Quinn Wolcott
HOU,2023-08-02,Junior Valentine
HOU,2023-08-11,Alfonso Márquez
HOU,2023-08-12,Ramon D
HOU,2023-08-13,Lance Barrett
HOU,2023-08-18,Alex MacKay
HOU,2023-08-19,Bruce Dreckman
HOU,2023-08-20,Stu Scheurwater
HOU,2023-08-21,Brian O'Nora
HOU,2023-08-22,Pat Hoberg
HOU,2023-08-23,Tom Hanahan
HOU,2023-08-24,Nestor Ceja
HOU,2023-09-01,Nic Lentz
HOU,2023-09-02,Paul Clemons
HOU,2023-09-03,Jeremie Rehak
HOU,2023-09-08,Manny Gonzalez
HOU,2023-09-09,Quinn Wolcott
HOU,2023-09-10,Charlie Ramos
HOU,2023-09-11,Vic Carapazza
HOU,2023-09-12,Adam Hamari
HOU,2023-09-13,Clint Vondrak
HOU,2023-09-18,Chad Fairchild
HOU,2023-09-19,Phil Cuzzi
HOU,2023-09-20,Jeremie Rehak
HOU,2023-09-22,Ryan Wills
HOU,2023-09-23,Will Little
HOU,2023-09-24,Ryan Additon
KC,2023-03-30,Todd Tichenor
KC,2023-04-01,Brian Knight
KC,2023-04-02,Alex Tosi
KC,2023-04-03,Adam Hamari
KC,2023-04-04,Jerry Layne
KC,2023-04-05,Vic Carapazza
KC,2023-04-06,Manny Gonzalez
KC,2023-04-14,Quinn Wolcott
KC,2023-04-15,Junior Valentine
KC,2023-04-16,Adrian Johnson
KC,2023-04-17,Bruce Dreckman
KC,2023-04-18,Stu Scheurwater
KC,2023-04-19,Malachi Moore
KC,2023-05-02,Chad Whitson
KC,2023-05-03,Roberto Ortiz
KC,2023-05-04,Rob Drake
KC,2023-05-05,Paul Emmel
KC,2023-05-06,Chad Fairchild
KC,2023-05-07,Nic Lentz
KC,2023-05-08,Manny Gonzalez
KC,2023-05-09,Junior Valentine
KC,2023-05-10,Adrian Johnson
KC,2023-05-11,Quinn Wolcott
KC,2023-05-22,CB Bucknor
KC,2023-05-23,Chris Segal
KC,2023-05-24,Brian Walsh
KC,2023-05-26,Lance Barksdale
KC,2023-05-27,Will Little
KC,2023-05-28,Ryan Additon
KC,2023-06-02,Mike Muchlinski
KC,2023-06-03,Sean Barber
KC,2023-06-04,Alan Porter
KC,2023-06-12,CB Bucknor
KC,2023-06-13,Ben May
KC,2023-06-14,Jeff Nelson
KC,2023-06-16,Todd Tichenor
KC,2023-06-17,Tony Randazzo
KC,2023-06-18,Jeremy Riggs
KC,2023-06-27,Andy Fletcher
KC,2023-06-28,Mike Estabrook
KC,2023-06-29,Jeremy Riggs
KC,2023-06-30,Marvin Hudson
KC,2023-07-01,Ryan Blakney
KC,2023-07-02,Hunter Wendelstedt
KC,2023-07-16,Ryan Wills
KC,2023-07-17,Doug Eddings
KC,2023-07-18,Ramon D
KC,2023-07-19,Brian Walsh
KC,2023-07-20,Alfonso Márquez
KC,2023-07-28,Mike Muchlinski
KC,2023-07-29,Sean Barber
KC,2023-07-30,Alan Porter
KC,2023-08-01,Ryan Blakney
KC,2023-08-02,Marvin Hudson
KC,2023-08-03,Hunter Wendelstedt
KC,2023-08-11,Larry Vanover
KC,2023-08-12,Chris Guccione
KC,2023-08-14,John Libka
KC,2023-08-15,D.J. Reyburn
KC,2023-08-16,Angel Hernandez
KC,2023-08-17,James Hoye
KC,2023-08-28,Nestor Ceja
KC,2023-08-29,Brian O'Nora
KC,2023-08-30,Pat Hoberg
KC,2023-09-01,Sean Barber
KC,2023-09-02,Alan Porter
KC,2023-09-03,Jim Wolf
KC,2023-09-04,Nate Tomlinson
KC,2023-09-05,Bill Miller
KC,2023-09-06,Chad Whitson
KC,2023-09-15,James Hoye
KC,2023-09-16,John Libka
KC,2023-09-17,Derek Thomas
KC,2023-09-18,Ramon D
KC,2023-09-19,Emil Jimenez
KC,2023-09-20,Doug Eddings
KC,2023-09-29,Ron Kulpa
KC,2023-09-30,Jeremy Riggs
KC,2023-10-01,Clint Vondrak
LAD,2023-03-30,Marvin Hudson
LAD,2023-03-31,Hunter Wendelstedt
LAD,2023-04-01,John Tumpane
LAD,2023-04-02,Ryan Blakney
LAD,2023-04-03,Mark Carlson
LAD,2023-04-04,Jordan Baker
LAD,2023-04-14,Jim Wolf
LAD,2023-04-15,Mike Muchlinski
LAD,2023-04-16,Sean Barber
LAD,2023-04-17,Mark Ripperger
LAD,2023-04-18,Shane Livensparger
LAD,2023-04-19,Dan Bellino
LAD,2023-04-28,Nate Tomlinson
LAD,2023-04-29,Sean Barber
LAD,2023-04-30,Jim Wolf
LAD,2023-05-01,David Rackley
LAD,2023-05-02,Jeremy Riggs
LAD,2023-05-03,Edwin Moscoso
LAD,2023-05-12,Jeremy Riggs
LAD,2023-05-13,Rob Drake
LAD,2023-05-14,Bill Miller
LAD,2023-05-15,Phil Cuzzi
LAD,2023-05-16,Shane Livensparger
LAD,2023-05-17,Dan Bellino
LAD,2023-05-29,Todd Tichenor
LAD,2023-05-30,Brian Knight
LAD,2023-05-31,Alex Tosi
LAD,2023-06-02,Hunter Wendelstedt
LAD,2023-06-03,John Tumpane
LAD,2023-06-04,Ryan Blakney
LAD,2023-06-13,Brian O'Nora
LAD,2023-06-14,Pat Hoberg
LAD,2023-06-15,Jacob Metz
LAD,2023-06-16,Nate Tomlinson
LAD,2023-06-17,Chris Segal
LAD,2023-06-18,David Rackley
LAD,2023-06-23,Jose Navas
LAD,2023-06-24,Manny Gonzalez
LAD,2023-06-25,Quinn Wolcott
LAD,2023-07-03,James Hoye
LAD,2023-07-04,D.J. Reyburn
LAD,2023-07-05,Clint Vondrak
LAD,2023-07-06,John Libka
LAD,2023-07-07,Brian Walsh
LAD,2023-07-08,Will Little
LAD,2023-07-24,Chris Segal
LAD,2023-07-25,CB Bucknor
LAD,2023-07-26,Ben May
LAD,2023-07-28,Marvin Hudson
LAD,2023-07-29,Hunter Wendelstedt
LAD,2023-07-30,John Tumpane
LAD,2023-08-01,Ryan Additon
LAD,2023-08-02,Will Little
LAD,2023-08-03,Lance Barksdale
LAD,2023-08-10,Erich Bacchus
LAD,2023-08-11,Laz Diaz
LAD,2023-08-12,Mike Estabrook
LAD,2023-08-13,Andy Fletcher
LAD,2023-08-15,Will Little
LAD,2023-08-16,Dan Merzel
LAD,2023-08-17,Chris Guccione
LAD,2023-08-18,Ramon D
LAD,2023-08-28,Chris Guccione
LAD,2023-08-29,Brian Knight
LAD,2023-08-30,Alex Tosi
LAD,2023-08-31,Dan Bellino
LAD,2023-09-01,Phil Cuzzi
LAD,2023-09-02,Mark Ripperger
LAD,2023-09-03,Shane Livensparger
LAD,2023-09-11,Cory Blaser
LAD,2023-09-12,Jeremy Riggs
LAD,2023-09-13,Ron Kulpa
LAD,2023-09-18,Mark Ripperger
LAD,2023-09-19,David Arrieta
LAD,2023-09-20,Dan Bellino
LAD,2023-09-21,Erich Bacchus
LAD,2023-09-22,Laz Diaz
LAD,2023-09-23,Mike Estabrook
LAD,2023-09-24,Andy Fletcher
MIA,2023-03-30,Larry Vanover
MIA,2023-03-31,Chris Guccione
MIA,2023-04-01,David Rackley
MIA,2023-04-02,Edwin Moscoso
MIA,2023-04-03,Mike Estabrook
MIA,2023-04-04,Laz Diaz
MIA,2023-04-05,Andy Fletcher
MIA,2023-04-14,Jeremie Rehak
MIA,2023-04-15,Paul Emmel
MIA,2023-04-16,Chad Fairchild
MIA,2023-04-17,Doug Eddings
MIA,2023-04-18,Lance Barrett
MIA,2023-04-19,Charlie Ramos
MIA,2023-04-28,Roberto Ortiz
MIA,2023-04-29,Rob Drake
MIA,2023-04-30,Bill Miller
MIA,2023-05-02,Lance Barrett
MIA,2023-05-03,Charlie Ramos
MIA,2023-05-04,Ramon D
MIA,2023-05-12,Carlos Torres
MIA,2023-05-13,Jansen Visconti
MIA,2023-05-14,Cory Blaser
MIA,2023-05-16,Mark Carlson
MIA,2023-05-17,Tripp Gibson
MIA,2023-05-18,Jordan Baker
MIA,2023-05-30,Jordan Baker
MIA,2023-05-31,Brennan Miller
MIA,2023-06-01,Nate Tomlinson
MIA,2023-06-02,Lance Barrett
MIA,2023-06-03,Doug Eddings
MIA,2023-06-04,Alfonso Márquez
MIA,2023-06-05,Roberto Ortiz
MIA,2023-06-06,Chad Whitson
MIA,2023-06-07,Rob Drake
MIA,2023-06-19,Vic Carapazza
MIA,2023-06-20,Tom Hanahan
MIA,2023-06-21,Nick Mahrley
MIA,2023-06-22,Edwin Jimenez
MIA,2023-06-23,Alex Tosi
MIA,2023-06-24,Todd Tichenor
MIA,2023-06-25,Tony Randazzo
MIA,2023-07-03,CB Bucknor
MIA,2023-07-04,Ben May
MIA,2023-07-05,Jeff Nelson
MIA,2023-07-06,Ryan Wills
MIA,2023-07-07,Chris Guccione
MIA,2023-07-08,Nate Tomlinson
MIA,2023-07-09,Edwin Moscoso
MIA,2023-07-21,Ryan Wills
MIA,2023-07-22,Mike Estabrook
MIA,2023-07-23,Andy Fletcher
MIA,2023-07-28,Cory Blaser
MIA,2023-07-29,Jansen Visconti
MIA,2023-07-30,Carlos Torres
MIA,2023-07-31,Mark Ripperger
MIA,2023-08-01,Shane Livensparger
MIA,2023-08-02,Dan Bellino
MIA,2023-08-03,Phil Cuzzi
MIA,2023-08-11,D.J. Reyburn
MIA,2023-08-12,Angel Hernandez
MIA,2023-08-13,James Hoye
MIA,2023-08-14,Manny Gonzalez
MIA,2023-08-15,Junior Valentine
MIA,2023-08-16,Quinn Wolcott
MIA,2023-08-25,Brian O'Nora
MIA,2023-08-26,Pat Hoberg
MIA,2023-08-27,Tom Hanahan
MIA,2023-08-29,Will Little
MIA,2023-08-30,Ryan Additon
MIA,2023-09-05,D.J. Reyburn
MIA,2023-09-06,Angel Hernandez
MIA,2023-09-07,James Hoye
MIA,2023-09-15,Charlie Ramos
MIA,2023-09-16,Adrian Johnson
MIA,2023-09-17,Quinn Wolcott
MIA,2023-09-18,Nestor Ceja
MIA,2023-09-19,Brian O'Nora
MIA,2023-09-20,Chris Segal
MIA,2023-09-22,Roberto Ortiz
MIA,2023-09-23,Bill Miller
MIA,2023-09-24,Lance Barrett
MIL,2023-04-03,Alan Porter
MIL,2023-04-04,Jim Wolf
MIL,2023-04-05,Mike Muchlinski
MIL,2023-04-07,Adam Hamari
MIL,2023-04-08,Jerry Layne
MIL,2023-04-09,Vic Carapazza
MIL,2023-04-21,Alfonso Márquez
MIL,2023-04-22,Doug Eddings
MIL,2023-04-23,Lance Barrett
MIL,2023-04-24,Marvin Hudson
MIL,2023-04-25,Hunter Wendelstedt
MIL,2023-04-26,John Tumpane
MIL,2023-04-28,Scott Barry
MIL,2023-04-29,Adam Beck
MIL,2023-04-30,Clint Vondrak
MIL,2023-05-08,Alfonso Márquez
MIL,2023-05-09,Ramon D
MIL,2023-05-10,Doug Eddings
MIL,2023-05-12,Mark Carlson
MIL,2023-05-13,Tripp Gibson
MIL,2023-05-14,Brennan Miller
MIL,2023-05-22,Dan Bellino
MIL,2023-05-23,Ryan Wills
MIL,2023-05-24,Mark Ripperger
MIL,2023-05-25,Charlie Ramos
MIL,2023-05-26,Jeremie Rehak
MIL,2023-05-27,Chad Fairchild
MIL,2023-05-28,Nic Lentz
MIL,2023-06-06,Marvin Hudson
MIL,2023-06-07,Hunter Wendelstedt
MIL,2023-06-08,Brian Walsh
MIL,2023-06-09,Ben May
MIL,2023-06-10,Jeff Nelson
MIL,2023-06-11,Tom Hanahan
MIL,2023-06-16,Ramon D
MIL,2023-06-17,Lance Barrett
MIL,2023-06-18,Doug Eddings
MIL,2023-06-19,Bruce Dreckman
MIL,2023-06-20,Stu Scheurwater
MIL,2023-06-21,Derek Thomas
MIL,2023-07-03,Jeremy Riggs
MIL,2023-07-04,Erich Bacchus
MIL,2023-07-05,Andy Fletcher
MIL,2023-07-06,Mike Estabrook
MIL,2023-07-07,Ryan Blakney
MIL,2023-07-08,John Tumpane
MIL,2023-07-09,David Rackley
MIL,2023-07-21,Mark Wegner
MIL,2023-07-22,Malachi Moore
MIL,2023-07-23,Bruce Dreckman
MIL,2023-07-24,Junior Valentine
MIL,2023-07-25,Manny Gonzalez
MIL,2023-07-26,Adrian Johnson
MIL,2023-08-03,Chris Guccione
MIL,2023-08-04,Edwin Moscoso
MIL,2023-08-05,David Rackley
MIL,2023-08-06,Nate Tomlinson
MIL,2023-08-07,Malachi Moore
MIL,2023-08-08,Bruce Dreckman
MIL,2023-08-09,John Tumpane
MIL,2023-08-22,Jeff Nelson
MIL,2023-08-23,Chris Segal
MIL,2023-08-25,Dan Merzel
MIL,2023-08-26,Lance Barksdale
MIL,2023-08-27,Ramon D
MIL,2023-09-01,John Tumpane
MIL,2023-09-02,Hunter Wendelstedt
MIL,2023-09-03,Cory Blaser
MIL,2023-09-11,Mark Carlson
MIL,2023-09-12,Jordan Baker
MIL,2023-09-13,Alex MacKay
MIL,2023-09-14,Brennan Miller
MIL,2023-09-15,Brian O'Nora
MIL,2023-09-16,Tom Hanahan
MIL,2023-09-17,Pat Hoberg
MIL,2023-09-26,Cory Blaser
MIL,2023-09-27,Jeremy Riggs
MIL,2023-09-28,Carlos Torres
MIL,2023-09-29,Mark Wegner
MIL,2023-09-30,Malachi Moore
MIL,2023-10-01,Bruce Dreckman
MIN,2023-04-07,Tripp Gibson
MIN,2023-04-08,Brennan Miller
MIN,2023-04-09,Mark Carlson
MIN,2023-04-10,Mike Muchlinski
MIN,2023-04-11,Sean Barber
MIN,2023-04-12,Alan Porter
MIN,2023-04-21,Brian O'Nora
MIN,2023-04-22,Pat Hoberg
MIN,2023-04-23,Nestor Ceja
MIN,2023-04-24,Rob Drake
MIN,2023-04-25,Bill Miller
MIN,2023-04-26,Chad Whitson
MIN,2023-04-27,Nick Mahrley
MIN,2023-04-28,Jerry Layne
MIN,2023-04-29,Brock Ballou
MIN,2023-04-30,Vic Carapazza
MIN,2023-05-09,Tripp Gibson
MIN,2023-05-10,Brennan Miller
MIN,2023-05-11,Brock Ballou
MIN,2023-05-12,Pat Hoberg
MIN,2023-05-13,Emil Jimenez
MIN,2023-05-14,Chris Segal
MIN,2023-05-22,Alex Tosi
MIN,2023-05-23,Tony Randazzo
MIN,2023-05-24,Todd Tichenor
MIN,2023-05-26,Bruce Dreckman
MIN,2023-05-27,Stu Scheurwater
MIN,2023-05-28,Malachi Moore
MIN,2023-06-01,Ryan Additon
MIN,2023-06-02,Dan Merzel
MIN,2023-06-03,Lance Barksdale
MIN,2023-06-04,Will Little
MIN,2023-06-13,Mark Ripperger
MIN,2023-06-14,Dan Bellino
MIN,2023-06-15,Adam Beck
MIN,2023-06-16,Dan Iassogna
MIN,2023-06-17,Ryan Wills
MIN,2023-06-18,Gabe Morales
MIN,2023-06-19,Edwin Moscoso
MIN,2023-06-20,Nate Tomlinson
MIN,2023-06-21,David Rackley
MIN,2023-06-22,Chris Guccione
MIN,2023-07-03,Shane Livensparger
MIN,2023-07-04,Mark Ripperger
MIN,2023-07-05,Phil Cuzzi
MIN,2023-07-07,Mike Muchlinski
MIN,2023-07-08,Ben May
MIN,2023-07-09,Jeff Nelson
MIN,2023-07-21,D.J. Reyburn
MIN,2023-07-22,Clint Vondrak
MIN,2023-07-23,John Libka
MIN,2023-07-24,Rob Drake
MIN,2023-07-25,Bill Miller
MIN,2023-07-26,Chad Whitson
MIN,2023-08-04,Vic Carapazza
MIN,2023-08-05,Emil Jimenez
MIN,2023-08-06,Adam Hamari
MIN,2023-08-15,Clint Vondrak
MIN,2023-08-16,Gabe Morales
MIN,2023-08-18,Andy Fletcher
MIN,2023-08-19,Erich Bacchus
MIN,2023-08-20,Laz Diaz
MIN,2023-08-24,Cory Blaser
MIN,2023-08-25,Carlos Torres
MIN,2023-08-26,Jansen Visconti
MIN,2023-08-27,John Bacon
MIN,2023-08-28,Hunter Wendelstedt
MIN,2023-08-29,Derek Thomas
MIN,2023-08-30,Jose Navas
MIN,2023-09-08,Cory Blaser
MIN,2023-09-09,Ron Kulpa
MIN,2023-09-10,Jansen Visconti
MIN,2023-09-11,Dan Iassogna
MIN,2023-09-12,Adam Beck
MIN,2023-09-13,Gabe Morales
MIN,2023-09-22,Charlie Ramos
MIN,2023-09-23,Chad Fairchild
MIN,2023-09-24,Phil Cuzzi
MIN,2023-09-26,Nestor Ceja
MIN,2023-09-27,Lance Barrett
MIN,2023-09-28,David Arrieta
NYM,2023-04-07,Chris Segal
NYM,2023-04-08,Ben May
NYM,2023-04-09,Jeff Nelson
NYM,2023-04-10,Lance Barksdale
NYM,2023-04-11,Will Little
NYM,2023-04-12,Ryan Additon
NYM,2023-04-25,Brennan Miller
NYM,2023-04-26,Mark Carlson
NYM,2023-04-27,Jordan Baker
NYM,2023-04-28,Quinn Wolcott
NYM,2023-05-05,John Tumpane
NYM,2023-05-06,Alex MacKay
NYM,2023-05-07,Marvin Hudson
NYM,2023-05-16,Ben May
NYM,2023-05-17,Jeff Nelson
NYM,2023-05-18,CB Bucknor
NYM,2023-05-19,Will Little
NYM,2023-05-30,Edwin Moscoso
NYM,2023-05-31,Chris Guccione
NYM,2023-06-01,Tripp Gibson
NYM,2023-06-02,Nic Lentz
NYM,2023-06-03,Charlie Ramos
NYM,2023-06-04,Jeremie Rehak
NYM,2023-06-13,Rob Drake
NYM,2023-06-14,Bill Miller
NYM,2023-06-16,Phil Cuzzi
NYM,2023-06-17,Shane Livensparger
NYM,2023-06-18,Dan Merzel
NYM,2023-06-26,Jansen Visconti
NYM,2023-06-27,Edwin Jimenez
NYM,2023-06-28,Carlos Torres
NYM,2023-06-29,Ron Kulpa
NYM,2023-06-30,Bruce Dreckman
NYM,2023-07-01,Malachi Moore
NYM,2023-07-02,Stu Scheurwater
NYM,2023-07-14,Tony Randazzo
NYM,2023-07-15,Alex Tosi
NYM,2023-07-16,Brian Knight
NYM,2023-07-18,Mike Estabrook
NYM,2023-07-19,Andy Fletcher
NYM,2023-07-20,Erich Bacchus
NYM,2023-07-27,Emil Jimenez
NYM,2023-07-28,Adam Hamari
NYM,2023-07-29,Nick Mahrley
NYM,2023-07-30,Vic Carapazza
NYM,2023-08-07,Ramon D
NYM,2023-08-08,Lance Barrett
NYM,2023-08-09,Ryan Wills
NYM,2023-08-11,Jordan Baker
NYM,2023-08-13,Tripp Gibson
NYM,2023-08-14,Phil Cuzzi
NYM,2023-08-15,Mark Ripperger
NYM,2023-08-16,Shane Livensparger
NYM,2023-08-25,Jeremie Rehak
NYM,2023-08-26,Chad Fairchild
NYM,2023-08-27,Nic Lentz
NYM,2023-08-28,Alan Porter
NYM,2023-08-29,Jim Wolf
NYM,2023-08-30,Nate Tomlinson
NYM,2023-09-01,Vic Carapazza
NYM,2023-09-02,Adam Hamari
NYM,2023-09-03,Nick Mahrley
NYM,2023-09-11,Roberto Ortiz
NYM,2023-09-12,Rob Drake
NYM,2023-09-13,Tripp Gibson
NYM,2023-09-14,Bill Miller
NYM,2023-09-15,David Rackley
NYM,2023-09-16,Larry Vanover
NYM,2023-09-17,Edwin Moscoso
NYM,2023-09-28,Emil Jimenez
NYM,2023-10-01,Adrian Johnson
NYY,2023-03-30,Laz Diaz
NYY,2023-04-01,Andy Fletcher
NYY,2023-04-02,Erich Bacchus
NYY,2023-04-03,Paul Emmel
NYY,2023-04-04,Chad Fairchild
NYY,2023-04-05,Nic Lentz
NYY,2023-04-13,D.J. Reyburn
NYY,2023-04-14,John Libka
NYY,2023-04-15,Nate Tomlinson
NYY,2023-04-16,James Hoye
NYY,2023-04-18,Dan Merzel
NYY,2023-04-19,Lance Barksdale
NYY,2023-04-20,Will Little
NYY,2023-04-21,Adrian Johnson
NYY,2023-04-22,Manny Gonzalez
NYY,2023-04-23,Quinn Wolcott
NYY,2023-05-01,Carlos Torres
NYY,2023-05-02,Jansen Visconti
NYY,2023-05-03,Cory Blaser
NYY,2023-05-08,Mike Estabrook
NYY,2023-05-09,Andy Fletcher
NYY,2023-05-10,Erich Bacchus
NYY,2023-05-11,Alan Porter
NYY,2023-05-12,Nate Tomlinson
NYY,2023-05-13,Sean Barber
NYY,2023-05-14,Mike Muchlinski
NYY,2023-05-23,David Rackley
NYY,2023-05-24,Edwin Jimenez
NYY,2023-05-25,Edwin Moscoso
NYY,2023-05-26,Chad Whitson
NYY,2023-05-27,Rob Drake
NYY,2023-05-28,Bill Miller
NYY,2023-06-06,Ryan Additon
NYY,2023-06-09,Jeremy Riggs
NYY,2023-06-10,Brian Knight
NYY,2023-06-11,Alex Tosi
NYY,2023-06-20,Dan Bellino
NYY,2023-06-21,Phil Cuzzi
NYY,2023-06-22,Shane Livensparger
NYY,2023-06-23,Andy Fletcher
NYY,2023-06-24,Carlos Torres
NYY,2023-06-25,John Bacon
NYY,2023-07-03,Tom Hanahan
NYY,2023-07-04,Gabe Morales
NYY,2023-07-05,Adam Beck
NYY,2023-07-06,Dan Iassogna
NYY,2023-07-07,Sean Barber
